Temperature,Heating_Rate,Residence_Time,Plastic_Type,Moisture_Content,Feed_Rate,Catalyst_Ratio,Gas_Yield,CO2_Emission,Risk_Level
313.8,28.6,61.4,PET,9.69,19.55,0.2773,33.2,20.0,Low
663.7,10.2,78.1,HDPE,2.26,5.88,0.2137,57.35,20.0,Low
403.5,43.7,55.2,LDPE,13.99,9.67,0.1105,36.39,28.1,Low
565.0,37.5,57.0,PET,5.75,1.57,0.2139,49.38,20.0,Low
424.7,8.0,46.3,HDPE,10.94,8.55,0.0121,37.03,174.27,Low
508.0,36.9,72.1,PP,0.31,11.86,0.1159,52.11,36.83,Low
518.7,29.5,103.6,PP,3.08,19.11,0.1219,53.68,42.72,Low
373.9,8.7,32.2,HDPE,7.31,10.82,0.0501,33.4,104.41,Low
687.8,25.6,112.8,PP,13.17,16.56,0.0069,56.69,277.84,Medium
610.1,26.8,85.8,PP,7.91,11.4,0.04,55.41,183.14,Medium
675.8,12.5,100.6,LDPE,13.95,1.77,0.1964,52.59,20.0,Low
657.9,47.6,71.2,PP,7.26,6.99,0.2407,57.12,20.0,Low
539.2,43.2,95.7,PET,7.36,11.94,0.2965,51.82,20.0,Low
668.7,35.1,11.8,PP,1.8,19.06,0.1039,51.96,100.06,Medium
335.4,25.8,100.0,HDPE,12.04,17.32,0.1798,40.6,20.0,Low
378.4,23.5,14.4,LDPE,3.7,5.34,0.2811,34.35,20.0,Low
318.1,34.3,107.9,PP,13.49,5.18,0.0501,36.75,81.35,Low
430.1,29.5,119.1,HDPE,13.66,4.82,0.2153,47.23,20.0,Low
455.5,7.8,42.3,PET,14.15,18.53,0.2265,35.03,20.0,Medium
408.5,28.1,33.1,PP,7.8,17.2,0.0267,39.25,149.71,Low
631.5,41.3,94.2,LDPE,10.16,15.72,0.2584,52.9,20.0,Low
442.7,25.7,37.8,PP,11.68,8.46,0.2439,37.04,20.0,Low
412.4,7.3,105.2,HDPE,1.97,10.58,0.01,50.63,158.62,Low
517.1,40.4,21.3,LDPE,9.01,9.82,0.0273,41.93,194.82,Low
356.4,14.1,23.9,PP,0.51,5.81,0.0147,36.35,112.7,Low
620.9,16.6,117.7,PET,7.46,10.6,0.1004,51.76,88.97,Low
329.8,12.4,84.1,LDPE,2.32,1.58,0.1528,37.42,20.0,Low
694.8,19.9,103.2,PET,2.74,3.5,0.1597,60.65,33.74,Low
608.9,39.1,45.7,HDPE,5.48,17.85,0.0803,52.61,131.31,Low
379.5,28.4,84.4,PP,6.49,15.28,0.2735,39.43,20.0,Low
302.2,14.2,75.4,PET,9.35,9.03,0.1105,30.54,20.0,Low
626.2,44.5,76.3,HDPE,1.12,10.83,0.0137,55.37,217.58,Medium
582.7,44.6,85.1,PP,7.56,8.03,0.0901,50.77,97.96,Low
591.6,44.2,73.3,HDPE,2.74,15.07,0.1593,55.35,20.0,Low
608.5,15.7,57.2,PET,8.61,15.9,0.1225,47.12,64.3,Low
329.6,25.3,40.4,HDPE,9.56,15.5,0.0822,34.52,54.3,Low
443.4,49.3,94.5,LDPE,8.35,14.73,0.0394,47.46,143.11,Low
346.3,39.7,34.9,PP,11.07,4.89,0.2457,37.57,20.0,Low
645.2,6.2,86.2,HDPE,5.03,7.42,0.2988,58.32,20.0,Low
549.3,7.9,35.7,PET,11.48,9.93,0.0989,38.44,83.92,Low
432.4,25.9,78.8,PP,6.49,7.29,0.1145,43.12,20.0,Low
325.4,45.9,92.2,LDPE,7.26,15.34,0.1854,37.48,20.0,Low
424.4,29.2,34.1,PP,9.72,7.26,0.2155,37.82,20.0,Low
430.1,27.4,16.6,LDPE,0.28,3.63,0.1176,39.3,20.0,Low
591.8,9.7,24.4,PP,9.81,8.58,0.2715,45.36,20.0,Medium
555.0,34.6,76.7,HDPE,9.28,19.62,0.168,56.69,20.0,Medium
654.9,42.0,103.4,HDPE,4.65,5.29,0.1351,62.57,46.18,Low
488.9,22.1,14.9,PET,1.29,12.63,0.194,37.2,20.0,Low
347.8,39.9,90.8,LDPE,1.36,9.23,0.2858,43.67,20.0,Low
585.3,48.4,47.5,PET,13.85,2.35,0.2384,45.42,20.0,Low
604.3,14.2,62.6,HDPE,10.34,10.27,0.012,49.71,245.94,Medium
524.5,28.5,112.2,LDPE,1.91,14.34,0.0997,51.14,65.8,Low
608.4,17.9,46.5,PET,5.35,10.75,0.1412,47.45,45.61,Low
497.5,40.7,61.2,PET,8.89,17.57,0.0944,40.38,82.59,Low
509.1,31.0,11.5,PET,12.53,6.49,0.2101,35.37,20.0,Low
471.0,33.6,19.0,PET,0.65,2.64,0.2479,43.63,20.0,Low
310.2,40.9,38.4,PET,3.55,18.79,0.2194,32.97,20.0,Low
343.2,22.8,13.1,LDPE,13.35,8.19,0.2968,31.37,20.0,Low
312.6,46.2,79.5,PET,0.14,11.95,0.0818,37.2,40.09,Low
554.6,29.0,56.9,LDPE,3.02,16.05,0.2625,53.51,20.0,Low
425.7,12.1,70.3,PET,14.39,7.16,0.23,33.53,20.0,Low
503.4,36.3,29.2,HDPE,9.2,14.61,0.1087,44.64,58.83,Low
663.0,40.7,42.6,HDPE,3.93,3.57,0.2202,58.43,20.0,Medium
399.7,19.3,83.0,PET,1.0,6.53,0.0312,40.08,121.11,Low
464.2,43.6,116.2,PP,0.42,3.75,0.2368,53.12,20.0,Low
602.2,45.8,15.5,HDPE,3.67,16.41,0.1597,54.05,20.0,Medium
391.5,17.5,107.9,LDPE,13.22,5.23,0.0877,40.71,56.8,Low
330.8,49.3,73.5,PET,6.24,14.63,0.1967,39.79,20.0,Low
415.9,11.3,72.0,LDPE,10.81,18.92,0.1925,37.91,20.0,Low
364.5,14.1,65.0,PP,13.77,11.03,0.0628,32.97,96.67,Low
671.9,13.3,17.6,PET,6.12,11.26,0.0091,51.02,260.25,Medium
623.2,45.2,19.9,HDPE,2.87,9.76,0.1301,56.39,78.38,Medium
553.4,34.4,76.1,LDPE,7.76,7.19,0.1709,47.33,20.0,Low
648.6,11.8,47.5,HDPE,13.62,10.04,0.263,50.12,20.0,Medium
621.5,24.8,110.9,HDPE,12.07,12.45,0.2785,55.12,20.0,Medium
374.6,32.7,54.7,PET,0.99,19.73,0.1586,39.41,20.0,Low
657.0,8.8,25.8,LDPE,10.39,18.82,0.2261,44.27,20.0,Medium
515.7,44.7,88.6,PP,8.58,17.38,0.1318,47.89,20.0,Low
623.0,41.2,42.3,HDPE,13.61,17.89,0.2238,54.58,20.0,Medium
658.4,27.7,67.8,PET,1.84,9.89,0.0614,54.67,166.84,Low
427.2,48.5,86.8,PET,8.01,13.49,0.1113,37.72,50.52,Low
344.0,23.8,109.0,PP,13.19,18.01,0.1903,40.09,20.0,Low
391.2,49.3,97.1,PET,6.15,8.47,0.0054,44.39,194.98,Low
470.8,35.1,84.4,HDPE,7.23,19.27,0.2167,48.55,20.0,Low
627.2,33.6,84.8,PET,1.06,8.9,0.2507,56.66,20.0,Low
644.3,12.5,114.1,LDPE,4.17,12.42,0.1197,54.38,61.51,Low
302.8,44.7,42.5,LDPE,4.87,14.49,0.1344,35.31,20.0,Low
504.3,24.2,10.1,HDPE,14.18,19.06,0.2554,43.63,20.0,Low
467.0,12.3,39.9,LDPE,4.24,5.65,0.2327,41.27,20.0,Low
388.8,5.6,34.0,PP,6.91,15.18,0.0864,30.95,43.52,Low
347.9,30.2,82.8,PET,10.07,10.9,0.0972,35.36,44.06,Low
435.0,28.7,79.7,HDPE,2.43,6.1,0.2037,48.65,20.0,Low
677.2,37.4,75.3,PP,7.3,15.76,0.169,58.21,20.0,Medium
429.3,45.1,11.8,PET,11.08,11.49,0.0487,34.65,152.61,Medium
507.5,8.6,90.2,PP,13.0,13.56,0.093,41.57,58.76,Low
581.2,37.9,45.6,HDPE,9.39,7.14,0.27,53.24,20.0,Medium
445.5,13.4,83.2,HDPE,10.04,10.14,0.2065,44.52,20.0,Low
688.7,43.6,71.2,PP,1.89,12.73,0.2958,58.53,20.0,Low
685.0,41.9,47.7,PET,14.19,8.69,0.2301,51.62,20.0,Medium
400.7,29.3,24.8,LDPE,1.99,4.77,0.2826,40.76,20.0,Low
498.9,37.0,20.4,LDPE,11.62,19.27,0.0649,39.79,146.88,Medium
420.4,19.1,101.5,PP,3.97,10.72,0.2314,45.58,20.0,Low
413.9,26.2,111.0,HDPE,14.0,14.94,0.0061,41.09,189.64,Low
314.8,42.0,81.5,PET,10.8,8.81,0.2012,34.0,20.0,Low
543.8,25.7,21.4,PET,11.31,7.75,0.1408,39.53,52.7,Medium
501.1,21.1,54.2,HDPE,3.29,8.74,0.104,47.99,48.11,Low
320.6,27.2,90.2,LDPE,6.65,8.77,0.2587,41.48,20.0,Low
411.5,42.3,95.8,PET,9.27,11.34,0.2563,42.55,20.0,Low
663.3,20.1,23.0,PP,11.55,11.33,0.0067,47.98,276.61,High
395.8,12.8,10.0,LDPE,1.56,10.45,0.1829,37.03,20.0,Low
358.0,37.0,88.3,PP,14.44,3.56,0.1103,39.12,20.0,Low
495.8,42.2,49.2,LDPE,13.35,10.43,0.1247,42.69,26.5,Low
694.3,9.5,38.0,HDPE,4.06,4.21,0.2496,55.95,20.0,Medium
396.8,15.8,11.4,PP,12.34,3.4,0.093,31.6,64.96,Low
568.9,11.4,69.4,PP,7.77,18.72,0.2829,45.75,20.0,Low
604.6,20.7,103.6,HDPE,6.93,12.49,0.0539,56.41,152.11,Medium
395.1,25.3,115.3,PP,4.72,13.53,0.1988,45.06,20.0,Low
591.3,38.7,72.2,LDPE,8.71,8.63,0.2016,49.86,20.0,Low
447.1,34.3,66.6,PET,10.95,18.27,0.0757,41.23,100.35,Low
552.9,32.9,19.4,PET,6.16,13.12,0.0974,40.39,93.99,Medium
553.4,20.9,70.4,HDPE,9.44,15.61,0.2504,49.07,20.0,Low
514.3,42.9,51.8,LDPE,10.49,8.0,0.2285,47.1,20.0,Low
336.1,26.2,76.8,PP,10.67,19.24,0.0987,36.36,20.0,Low
634.1,49.1,52.8,PP,0.78,16.59,0.1602,56.15,20.0,Low
428.3,33.5,36.4,PET,12.9,17.23,0.0185,34.83,181.83,Low
374.6,10.7,20.4,PP,6.87,4.27,0.0626,33.67,79.8,Low
316.3,35.4,44.6,PET,3.94,6.15,0.1457,31.66,20.0,Low
536.4,19.6,20.6,HDPE,3.63,6.43,0.0258,46.05,179.21,Low
571.0,35.9,29.5,PP,7.25,6.15,0.253,50.37,20.0,Low
306.6,8.1,118.6,LDPE,13.3,17.25,0.2154,33.74,20.0,Low
504.8,12.9,58.9,PP,5.68,1.61,0.2831,44.18,20.0,Low
390.6,43.5,68.5,PET,11.25,2.45,0.208,36.7,20.0,Low
558.1,15.2,106.1,HDPE,1.45,6.2,0.2821,56.42,20.0,Low
369.7,42.7,119.5,PET,7.14,4.8,0.1664,41.41,20.0,Low
576.4,17.6,74.1,PP,14.88,5.41,0.1801,45.94,20.0,Low
454.7,33.9,99.4,PET,11.56,16.16,0.2931,43.16,20.0,Low
674.7,36.2,46.0,PET,3.16,11.7,0.1926,54.97,20.0,Medium
355.0,28.1,43.6,HDPE,7.52,1.11,0.0092,36.23,147.01,Low
436.4,18.7,54.3,LDPE,3.5,9.16,0.2171,41.69,20.0,Low
345.4,14.6,84.0,PP,6.14,8.75,0.2716,38.28,20.0,Low
669.9,6.5,85.0,HDPE,11.7,3.16,0.2387,55.2,20.0,Medium
650.9,18.7,44.7,LDPE,11.57,13.85,0.1751,46.49,20.0,Medium
403.2,34.4,24.7,PET,3.42,14.34,0.2014,39.7,20.0,Low
564.0,47.2,79.6,LDPE,13.83,14.7,0.2971,51.23,20.0,Low
626.9,44.2,24.1,PET,8.89,14.84,0.0272,44.41,227.23,Medium
522.1,39.5,73.6,PET,5.7,1.0,0.2002,46.11,20.0,Low
511.9,40.5,86.3,HDPE,7.53,19.12,0.085,50.14,99.3,Low
396.7,34.9,87.1,PET,9.08,16.47,0.192,44.98,20.0,Low
337.2,16.7,92.9,HDPE,8.4,18.18,0.1823,39.82,20.0,Low
658.9,45.8,106.0,LDPE,7.3,1.3,0.046,60.95,191.28,Low
660.2,35.2,65.0,LDPE,7.57,18.74,0.062,50.72,155.33,Low
553.2,30.2,90.3,PET,2.65,16.39,0.1865,48.54,20.0,Low
435.6,10.0,78.1,HDPE,12.19,16.91,0.0385,39.75,131.89,Low
439.7,25.1,30.5,PET,8.13,2.77,0.0796,34.58,89.18,Low
590.4,25.7,12.8,HDPE,1.97,15.04,0.2506,50.85,20.0,Medium
658.8,43.9,41.3,HDPE,11.49,19.24,0.0981,51.96,125.21,Medium
654.8,29.6,58.7,HDPE,13.99,13.89,0.1464,50.5,51.94,High
612.0,22.1,77.9,LDPE,14.21,11.84,0.2823,50.66,20.0,Medium
556.8,49.0,103.5,HDPE,5.54,18.97,0.0681,59.04,140.6,Low
333.7,10.0,31.6,LDPE,2.03,9.42,0.1169,36.67,20.0,Low
364.7,24.0,23.8,HDPE,7.78,12.39,0.1819,38.61,20.0,Low
659.4,6.9,116.0,LDPE,1.69,10.05,0.2266,58.41,20.0,Low
542.6,38.3,21.9,PP,14.01,18.72,0.2705,41.06,20.0,Low
303.7,46.3,62.6,LDPE,2.75,2.45,0.2746,37.92,20.0,Low
340.6,17.6,74.4,LDPE,3.79,10.52,0.233,39.74,20.0,Low
565.4,43.6,69.6,PET,6.1,14.05,0.0685,46.14,154.6,Low
302.0,18.1,19.5,HDPE,5.75,16.05,0.0074,31.65,140.41,Low
364.3,46.0,16.3,PP,11.92,12.08,0.1151,36.04,20.0,Low
519.5,38.9,21.6,PET,6.84,18.27,0.0425,45.19,176.81,Low
576.8,41.2,74.4,HDPE,2.56,18.9,0.2131,57.48,20.0,Low
560.8,5.8,69.9,PP,4.01,2.22,0.1983,50.41,20.0,Low
389.7,48.3,35.7,PP,7.64,8.65,0.0132,37.93,167.15,Low
584.9,37.7,80.2,PP,2.21,1.45,0.251,51.9,20.0,Low
394.9,18.7,100.2,HDPE,9.17,7.26,0.0746,44.64,79.18,Low
430.2,42.3,14.6,PP,8.49,11.2,0.1297,39.45,20.0,Low
598.6,17.7,64.8,PP,10.72,18.31,0.2004,47.67,20.0,Low
559.9,44.3,85.8,PET,14.07,17.08,0.1288,45.41,66.05,Low
639.7,10.1,37.8,LDPE,13.68,3.42,0.1324,46.76,82.47,High
563.0,36.7,43.9,HDPE,14.19,2.77,0.0197,44.36,220.61,Medium
527.3,29.3,77.5,LDPE,3.67,12.2,0.1204,47.72,42.37,Low
337.5,9.3,108.8,PET,1.97,11.11,0.2295,37.65,20.0,Low
447.1,15.9,99.1,LDPE,4.53,6.06,0.2746,46.15,20.0,Low
406.1,5.6,74.1,PP,13.43,18.09,0.124,33.52,20.0,Low
397.6,26.1,90.3,PP,14.58,18.62,0.1271,36.69,20.0,Low
689.2,18.6,50.1,HDPE,12.89,8.65,0.2108,51.52,20.0,Medium
457.2,31.9,80.5,HDPE,1.65,17.92,0.2828,50.56,20.0,Low
656.8,18.4,61.3,HDPE,14.21,8.3,0.0801,47.9,162.03,Medium
552.5,18.5,30.9,PET,6.35,15.0,0.132,42.6,48.44,Medium
617.9,38.4,87.2,HDPE,0.14,10.04,0.2388,63.33,20.0,Low
501.1,7.2,71.2,PET,6.64,3.33,0.1829,42.33,20.0,Low
530.8,45.6,49.4,PP,0.69,18.63,0.0332,52.96,170.14,Low
497.0,43.4,110.2,LDPE,8.16,9.63,0.1883,52.54,20.0,Low
378.1,35.1,12.3,PP,5.08,14.96,0.056,37.69,87.75,Low
589.0,31.7,44.7,PP,7.1,7.98,0.1531,48.56,20.0,Medium
412.3,45.2,16.3,PP,9.2,1.36,0.1587,37.67,20.0,Low
309.7,13.3,94.3,HDPE,13.03,2.91,0.2629,38.69,20.0,Low
558.2,8.6,87.2,HDPE,9.93,10.43,0.1387,48.69,22.13,Low
370.8,15.8,46.4,HDPE,6.51,14.11,0.0838,35.23,42.6,Low
676.2,40.8,84.3,LDPE,12.29,7.36,0.0693,54.82,157.97,Medium
681.6,6.6,53.6,HDPE,13.58,14.21,0.2623,49.28,20.0,Medium
665.9,31.2,93.2,PET,1.8,14.27,0.0513,54.31,175.54,Low
448.1,49.8,60.0,PP,7.98,14.37,0.1278,43.83,20.0,Low
306.2,43.5,55.4,LDPE,4.27,10.36,0.0562,37.04,65.79,Low
671.3,28.5,112.8,LDPE,0.71,18.38,0.232,58.42,20.0,Low
471.3,7.9,37.6,LDPE,10.03,10.29,0.1423,38.39,20.0,Low
686.7,42.4,23.2,LDPE,12.94,9.56,0.1053,51.42,129.44,High
685.4,32.0,74.3,LDPE,2.44,4.79,0.1083,55.47,101.84,Medium
641.2,10.2,116.6,PET,12.19,6.85,0.2557,53.14,20.0,Low
417.8,9.2,51.6,PP,12.8,1.8,0.1661,32.25,20.0,Low
454.0,45.9,16.8,LDPE,13.72,13.04,0.2154,42.1,20.0,Medium
640.5,35.1,47.3,PP,3.98,5.72,0.2691,52.85,20.0,Medium
426.8,42.3,65.7,HDPE,13.56,6.78,0.2705,43.69,20.0,Low
367.8,44.6,27.8,LDPE,4.81,15.65,0.0986,34.37,20.0,Low
522.7,30.7,82.4,LDPE,8.29,7.22,0.2857,47.96,20.0,Low
674.5,28.3,119.8,PP,0.76,5.6,0.0075,61.25,228.62,Medium
578.4,24.4,59.7,LDPE,0.66,4.21,0.1131,51.2,60.7,Low
528.0,19.3,49.0,LDPE,10.81,15.72,0.2687,42.06,20.0,Low
338.9,24.6,54.1,LDPE,6.67,3.46,0.0824,33.91,54.24,Low
546.0,39.8,22.7,PET,3.84,9.62,0.0819,46.84,121.82,Medium
696.0,32.1,107.2,PET,2.86,10.63,0.0908,58.67,134.25,Low
356.0,45.2,55.6,LDPE,10.05,14.06,0.1837,40.74,20.0,Low
507.3,25.0,52.6,PET,0.01,13.03,0.1315,44.67,20.0,Low
650.9,32.3,82.6,HDPE,12.09,16.4,0.218,54.56,20.0,Medium
596.3,33.4,58.6,LDPE,1.19,1.85,0.2685,55.23,20.0,Low
578.8,31.6,81.3,HDPE,2.87,6.63,0.2023,52.94,20.0,Low
581.0,36.6,16.8,PP,5.79,6.32,0.0613,44.04,134.19,Low
443.8,15.7,99.5,HDPE,7.27,3.77,0.2798,49.68,20.0,Low
417.4,28.1,113.5,PP,5.32,6.49,0.0793,43.14,64.37,Low
623.7,9.7,81.4,LDPE,4.81,6.89,0.045,47.85,161.89,Low
624.0,22.3,115.0,PP,14.46,10.92,0.027,54.28,211.27,Low
646.8,26.9,26.7,PP,9.62,13.61,0.169,45.41,20.0,Medium
665.3,34.4,62.5,HDPE,0.35,8.24,0.0341,60.06,192.47,Medium
504.5,47.8,76.2,HDPE,6.45,14.67,0.0416,51.22,150.52,Low
500.6,32.0,74.0,HDPE,13.13,7.39,0.09,40.42,87.76,Low
619.3,38.5,54.2,LDPE,4.52,6.52,0.0845,51.77,113.86,Medium
560.0,27.8,47.2,LDPE,1.42,11.28,0.1813,50.65,20.0,Low
580.8,33.5,24.0,HDPE,11.38,1.45,0.245,48.55,20.0,Medium
618.3,8.2,53.1,LDPE,9.09,2.52,0.2284,49.39,20.0,Medium
656.0,16.4,27.9,LDPE,8.55,8.94,0.0787,47.02,143.13,Medium
435.2,21.3,90.8,PP,0.8,18.92,0.0736,47.54,78.54,Low
450.2,26.3,33.0,PP,2.11,14.71,0.2897,41.79,20.0,Low
337.6,7.1,16.4,HDPE,9.34,2.67,0.0025,29.42,150.11,Low
531.3,11.3,70.8,LDPE,3.12,17.08,0.2639,45.52,20.0,Low
314.4,17.5,75.5,PP,7.56,14.91,0.0599,32.1,71.56,Low
486.2,48.7,105.9,PET,8.17,12.61,0.2842,50.01,20.0,Low
517.1,19.9,73.5,LDPE,4.25,16.59,0.1027,44.08,41.27,Low
414.6,26.7,48.0,PET,14.23,8.68,0.1321,34.34,20.0,Low
536.3,13.8,98.3,HDPE,12.64,5.21,0.2121,48.28,20.0,Low
312.2,32.5,69.4,LDPE,10.84,10.73,0.1763,34.67,20.0,Low
314.9,17.6,18.7,HDPE,1.17,11.43,0.0954,39.63,20.0,Low
629.0,14.3,72.2,HDPE,1.59,11.23,0.1661,55.82,20.0,Low
444.1,28.2,109.9,HDPE,7.39,11.74,0.2192,50.44,20.0,Low
350.8,5.2,53.6,HDPE,2.41,19.03,0.0127,39.29,132.54,Low
508.9,5.3,42.6,HDPE,14.67,18.14,0.0034,39.76,222.95,Medium
608.0,14.9,25.8,LDPE,2.38,17.64,0.1374,53.05,20.39,Low
386.3,6.7,26.7,PET,7.31,16.23,0.0396,28.77,125.51,Low
549.2,9.9,57.6,LDPE,5.46,18.93,0.1993,48.9,20.0,Low
334.1,20.2,75.5,LDPE,9.59,2.87,0.0642,36.61,66.1,Low
320.7,41.1,18.9,LDPE,1.94,6.04,0.1299,35.38,20.0,Low
512.5,30.7,113.4,PP,6.45,10.41,0.0593,53.1,117.81,Low
516.3,28.1,93.1,PP,4.12,17.08,0.1645,46.13,20.0,Low
555.0,18.2,74.5,LDPE,13.32,10.6,0.0348,43.0,189.76,Low
590.4,46.9,101.1,PET,0.61,15.21,0.0069,52.62,230.41,Low
690.3,22.9,18.8,LDPE,13.71,3.64,0.0153,47.36,247.61,High
506.5,8.9,62.5,HDPE,12.49,5.8,0.2863,42.17,20.0,Low
429.2,32.8,79.3,PP,4.46,14.9,0.0427,44.93,111.15,Low
618.1,10.1,101.2,PP,11.84,4.13,0.2125,49.78,20.0,Low
408.3,20.5,96.2,LDPE,0.47,7.68,0.0204,44.07,136.87,Low
475.6,27.8,40.5,LDPE,14.5,6.03,0.0324,38.49,162.07,Medium
331.4,44.3,113.5,PET,7.9,7.65,0.1527,39.36,20.0,Low
310.1,27.2,23.7,PET,4.55,14.46,0.1395,29.37,20.0,Low
685.1,36.6,106.3,HDPE,5.44,7.99,0.2855,65.0,20.0,Low
634.4,49.7,116.8,LDPE,1.0,11.55,0.2835,60.98,20.0,Low
578.4,10.9,29.5,LDPE,14.84,2.9,0.2339,36.68,20.0,Medium
463.6,17.4,89.4,LDPE,0.59,16.3,0.1806,45.99,20.0,Low
369.3,22.8,14.4,PP,9.82,8.03,0.1365,30.13,20.0,Low
362.6,24.0,54.6,HDPE,6.64,13.32,0.1069,41.76,25.31,Low
400.1,23.5,66.8,PET,14.23,14.78,0.2841,35.64,20.0,Low
519.7,45.8,73.9,PP,3.69,4.98,0.1809,51.34,20.0,Low
585.8,37.1,113.0,PP,7.98,17.81,0.1737,53.18,20.0,Low
564.1,32.4,83.9,PP,7.24,12.71,0.0696,49.33,115.79,Low
412.0,18.9,62.9,PP,10.54,9.15,0.014,36.58,185.22,Low
681.9,42.1,99.1,HDPE,1.02,4.46,0.2836,64.97,20.0,Low
595.2,48.0,114.6,LDPE,2.91,18.9,0.0941,59.41,121.02,Low
521.7,42.0,12.4,PET,3.22,15.35,0.1328,44.0,45.62,Low
544.7,5.1,118.1,PET,11.07,4.95,0.0344,45.82,175.2,Low
467.8,33.6,19.5,PP,2.84,7.42,0.2511,44.15,20.0,Low
399.1,7.3,99.6,PP,8.6,16.38,0.0083,41.16,173.54,Low
442.4,16.6,40.8,HDPE,3.23,14.22,0.2502,45.26,20.0,Low
603.1,7.7,24.5,PP,12.92,15.55,0.0421,42.35,197.17,Medium
305.8,32.2,58.4,PET,14.13,9.38,0.266,32.82,20.0,Low
346.4,35.9,80.8,PET,7.78,14.61,0.2189,36.25,20.0,Low
318.4,10.2,51.9,LDPE,5.28,8.34,0.0494,31.98,75.16,Low
316.3,22.3,16.0,LDPE,3.51,5.01,0.1697,31.04,20.0,Low
642.2,25.5,75.9,PET,0.75,13.02,0.0938,54.2,119.55,Low
581.5,21.6,109.3,PET,4.03,19.54,0.0535,47.52,159.34,Low
489.7,10.4,52.2,HDPE,9.81,6.9,0.2578,45.01,20.0,Low
339.1,23.9,33.8,HDPE,8.0,9.76,0.1211,36.43,20.0,Low
496.6,38.8,58.7,PET,14.16,13.81,0.1196,42.19,39.35,Low
489.4,8.2,15.3,PP,5.94,11.29,0.051,37.45,135.46,Medium
369.3,8.6,100.3,LDPE,10.41,17.03,0.1149,37.31,20.0,Low
473.5,21.0,100.9,PET,7.34,15.47,0.2615,46.73,20.0,Low
459.4,47.4,74.7,PP,7.69,2.11,0.1089,48.15,26.51,Low
